Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
Circling,Fly 0 (Male),0.333,5440,5449,03:01,03:02
Circling,Fly 1 (Female),0.3,5451,5459,03:02,03:02
WingExt,Fly 0 (Male),0.133,5453,5456,03:02,03:02
Circling,Fly 0 (Male),0.333,5454,5463,03:02,03:02
WingExt,Fly 1 (Female),0.1,5475,5477,03:02,03:03
WingExt,Fly 1 (Female),0.1,5484,5486,03:03,03:03
WingExt,Fly 1 (Female),0.333,5491,5500,03:03,03:03
WingExt,Fly 0 (Male),0.267,5498,5505,03:03,03:04
WingExt,Fly 1 (Female),0.1,5509,5511,03:04,03:04
WingExt,Fly 0 (Male),0.1,5514,5516,03:04,03:04
WingExt,Fly 0 (Male),0.133,5521,5524,03:04,03:04
WingExt,Fly 0 (Male),0.167,5633,5637,03:08,03:08
WingExt,Fly 1 (Female),0.267,5658,5665,03:09,03:09
WingExt,Fly 0 (Male),0.2,5670,5675,03:09,03:09
WingExt,Fly 0 (Male),0.233,5678,5684,03:09,03:09
WingExt,Fly 1 (Female),0.133,5686,5689,03:10,03:10
WingExt,Fly 0 (Male),0.233,5691,5697,03:10,03:10
WingExt,Fly 1 (Female),0.367,5767,5777,03:12,03:13
WingExt,Fly 0 (Male),0.1,5779,5781,03:13,03:13
WingExt,Fly 0 (Male),0.1,5786,5788,03:13,03:13
WingExt,Fly 0 (Male),0.1,5802,5804,03:13,03:13
WingExt,Fly 0 (Male),0.167,5811,5815,03:14,03:14
WingExt,Fly 1 (Female),0.333,5817,5826,03:14,03:14
WingExt,Fly 1 (Female),0.233,5831,5837,03:14,03:15
WingExt,Fly 1 (Female),0.1,5839,5841,03:15,03:15
WingExt,Fly 0 (Male),0.133,5841,5844,03:15,03:15
Circling,Fly 1 (Female),0.3,5848,5856,03:15,03:15
WingExt,Fly 1 (Female),0.2,5852,5857,03:15,03:15
WingExt,Fly 0 (Male),0.2,5862,5867,03:15,03:16
WingExt,Fly 1 (Female),0.1,5862,5864,03:15,03:15
WingExt,Fly 0 (Male),0.1,5870,5872,03:16,03:16
WingExt,Fly 0 (Male),0.267,5886,5893,03:16,03:16
WingExt,Fly 1 (Female),0.1,5893,5895,03:16,03:16
WingExt,Fly 1 (Female),0.1,5898,5900,03:17,03:17
WingExt,Fly 1 (Female),0.1,5933,5935,03:18,03:18
WingExt,Fly 0 (Male),0.233,5954,5960,03:18,03:19
WingExt,Fly 0 (Male),0.1,5962,5964,03:19,03:19
WingExt,Fly 1 (Female),0.133,5971,5974,03:19,03:19
WingExt,Fly 0 (Male),0.133,5994,5997,03:20,03:20
WingExt,Fly 0 (Male),0.1,6003,6005,03:20,03:20
WingExt,Fly 1 (Female),0.167,6007,6011,03:20,03:20
WingExt,Fly 0 (Male),0.1,6013,6015,03:20,03:20
WingExt,Fly 1 (Female),0.133,6018,6021,03:21,03:21
WingExt,Fly 0 (Male),0.133,6037,6040,03:21,03:21
WingExt,Fly 0 (Male),0.1,6053,6055,03:22,03:22
WingExt,Fly 1 (Female),0.1,6053,6055,03:22,03:22
WingExt,Fly 1 (Female),0.133,6057,6060,03:22,03:22
WingExt,Fly 0 (Male),0.1,6060,6062,03:22,03:22
WingExt,Fly 1 (Female),0.2,6071,6076,03:22,03:23
WingExt,Fly 0 (Male),0.1,6087,6089,03:23,03:23
WingExt,Fly 1 (Female),0.167,6088,6092,03:23,03:23
WingExt,Fly 0 (Male),0.2,6092,6097,03:23,03:23
WingExt,Fly 0 (Male),0.1,6099,6101,03:23,03:23
WingExt,Fly 0 (Male),0.1,6103,6105,03:23,03:24
WingExt,Fly 0 (Male),0.267,6129,6136,03:24,03:25
WingExt,Fly 1 (Female),0.267,6131,6138,03:24,03:25
WingExt,Fly 0 (Male),0.433,6158,6170,03:25,03:26
WingExt,Fly 0 (Male),0.133,6182,6185,03:26,03:26
WingExt,Fly 0 (Male),0.1,6187,6189,03:26,03:26
WingExt,Fly 0 (Male),0.133,6236,6239,03:28,03:28
